Issue Type,Issue key,Issue id,Updated,Custom field (Epic Link),Created,Summary,Status,Resolution,Affects Version/s,Affects Version/s,Custom field (Story Points),Custom field (Epic Name),Labels,Labels,Labels,Labels,Labels,Labels,Labels,Component/s,Custom field (Issue Resolution),Resolved,Sprint,Sprint,Custom field (Begin Date),Custom field (End Date),Fix Version/s,Fix Version/s,Outward issue link (Blocks),Outward issue link (Child-Issue),Outward issue link (Cloners),Outward issue link (Defect),Outward issue link (Dependent),Outward issue link (Dependent),Outward issue link (Gantt: finish-start),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates)
Story,AAKO-7804,1466849,20/Jun/18 2:55 PM,AAKO-3957,31/May/18 7:23 AM,Sales Exclusions - Update to GEO Crediting exclusions - Option #3  (SD) ,Open,,Spine,,13.0,,MUST,Spine,,,,,,Targaryen,,,AAKO-Targaryen - C3,,,,Spine,,,,,,,,,,,
Story,AAKO-7794,1462675,25/Jun/18 11:39 AM,AAKO-10,29/May/18 3:44 PM,SPN: All Aligned Sales - Data View at Customer/Invoice Level  SD,Open,,Spine,,5.0,,MUST,Spine,,,,,,Targaryen,,,AAKO-Targaryen - C1,,,,Spine,,,,,,,,,,,
Story,AAKO-7702,1452634,26/Jun/18 11:27 AM,AAKO-4903,24/May/18 11:51 AM,[Delete]Common Payment Process - Update JR metrics to Process Termed Participant,Completed,Done,Recon - Direct ,,0.0,,Recon-Direct,,,,,,,Lannister,Done,26/Jun/18 11:27 AM,,,,,Recon - Direct ,Recon - Distributer,,,AAKO-162,,,,,,,
Story,AAKO-7683,1452609,25/Jun/18 5:03 PM,AAKO-4903,24/May/18 11:48 AM,"[Delete]Common Payment Process-Update TRM, CMF, MIT and DPS Mgr metrics to Process Termed Participant",Completed,Done,Trauma,,0.0,,DPS,,,,,,,Lannister,Done,25/Jun/18 5:03 PM,,,,,Trauma,,,,AAKO-162,,,,,,,
Story,AAKO-7626,1451794,05/Jun/18 2:27 PM,AAKO-2277,24/May/18 9:44 AM,Harmonize the workflow from backend configuration perspective,Completed,Done,Spine,,3.0,,,,,,,,,Mormont,Done,05/Jun/18 2:27 PM,AAKO - Mormont - Bandhavgarh.4,,,,Spine,,,,,,,,,,,
Story,AAKO-7515,1449853,01/Jun/18 3:48 PM,AAKO-4889,23/May/18 4:27 PM,Update Geography Entity to include a new level (5) to the entity and process,Completed,Done,Spine,,5.0,,Spine,,,,,,,Targaryen,Done,01/Jun/18 3:48 PM,AAKO-Targaryen - Bandhavgarh.4,,,,Spine,,AAKO-7437,,,,,,,,,
Story,AAKO-7443,1446585,26/Jun/18 11:05 AM,AAKO-3982,22/May/18 3:29 PM,Story to test scenarios w/ current dependencies,Open,,Spine,,5.0,,SHOULD,,,,,,,Stark,,,AAKO - Stark - C.4,,,,Spine,,,,AAKO-6997,,AAKO-7839,,,,,
Story,AAKO-7440,1446005,06/Jun/18 6:52 PM,AAKO-3970,22/May/18 1:41 PM,"MITEK EI Quota - Ability to UL Zip Quotas w/ DDD # or IMS ID, Use INV Realign. to Apply Crediting Exception",Open,,MIT,,,,Mitek,,,,,,,Targaryen,,,,,,,MIT,,,,,,,,,,,
Story,AAKO-7439,1445635,11/Jun/18 1:19 PM,AAKO-3963,22/May/18 10:59 AM,Update to Geo Crediting (EDPY) - for IC Graft ID update,Open,,MIT,,3.0,,Ethicon,,,,,,,Targaryen,,,,,,,MIT,,,,,,,,,,,
Story,AAKO-7359,1431898,18/Jun/18 1:33 PM,AAKO-3983,16/May/18 11:10 AM,Statements: Release Process,Completed,Done,Spine,,5.0,,Spine,,,,,,,Stark,Done,18/Jun/18 1:33 PM,AAKO - Stark - IP Sprint,,,,Spine,,,,AAKO-7022,,,,,,,
Story,AAKO-7351,1425654,05/Jun/18 11:52 AM,AAKO-3977,14/May/18 5:53 PM,JnJ Draw missing Component Earning Adjustment,Completed,Done,Spine,,5.0,,Spine,,,,,,,Lannister,Done,05/Jun/18 11:52 AM,Lannister - Bandhavgarh.4,,,,Spine,,,,,,,,,,,
